First Contact,First Contact,Land your first plane.,en-US
First Contact,Первый контакт,Посади свой первый борт.,ru-RU
Hands On,Hands On,Complete your first service.,en-US
Hands On,Руки на месте,Заверши первое обслуживание.,ru-RU
Bon Voyage,Bon Voyage,Send off your first plane.,en-US
Bon Voyage,Счастливого пути,Отправь первый борт на взлёт.,ru-RU
Shift Done,Shift Done,Clear your first level.,en-US
Shift Done,Смена сдана,Пройди первый уровень.,ru-RU
Tower Trainee,Tower Trainee,Land 10 planes total.,en-US
Tower Trainee,Стажёр вышки,Посади 10 бортов всего.,ru-RU
